ranks,titles,index,gross,theaters,per_theater,total_gross
8,Star Wars: The Rise of Skywalker,30,"$4,458,457","2,202","$2,025","$508,321,478"
9,The Turning,30,"$3,955,890","2,571","$1,539","$12,611,330"
10,The Rhythm Section,30,"$3,892,991","3,049","$1,277","$3,892,991"
11,Knives Out,30,"$3,606,886","1,555","$2,320","$156,591,650"
12,Just Mercy,30,"$3,208,703","1,807","$1,776","$31,850,112"
13,Frozen II,30,"$2,296,304","1,392","$1,650","$472,933,674"
14,Parasite,30,"$2,203,002","1,060","$2,078","$33,972,278"
15,Jojo Rabbit,30,"$2,118,539","1,173","$1,806","$28,746,950"
16,2020 Oscar Shorts,30,"$1,830,444",465,"$3,936","$1,830,444"
17,Spies in Disguise,30,"$1,505,541","1,028","$1,465","$63,915,667"
18,Ford v. Ferrari,30,"$1,000,838",924,"$1,083","$115,696,692"
19,The Last Full Measure,30,"$754,482",617,"$1,223","$2,319,925"
20,Like a Boss,30,"$707,427",665,"$1,064","$21,763,873"
1,Birds of Prey (And the Fantabulous Emancipation…,37,"$42,158,302","4,236","$9,952","$42,158,302"
2,Bad Boys For Life,37,"$15,700,099","3,530","$4,448","$170,022,306"
3,1917,37,"$12,782,075","3,548","$3,603","$136,324,984"
4,Dolittle,37,"$8,151,530","3,462","$2,355","$65,451,515"
5,Jumanji: The Next Level,37,"$7,085,875","2,729","$2,597","$300,016,286"
6,The Gentlemen,37,"$5,852,082","2,557","$2,289","$28,524,063"
7,Gretel & Hansel,37,"$4,657,677","3,007","$1,549","$12,681,917"
8,Parasite,37,"$3,715,266","1,060","$3,505","$37,687,544"
9,Little Women,37,"$3,454,863","1,805","$1,914","$103,803,006"
10,Star Wars: The Rise of Skywalker,37,"$3,164,885","1,746","$1,813","$511,486,363"
11,Knives Out,37,"$3,119,367","1,443","$2,162","$159,711,017"
12,Just Mercy,37,"$2,130,054","1,315","$1,620","$33,980,166"
13,Jojo Rabbit,37,"$2,108,358","1,096","$1,924","$30,855,308"
14,The Turning,37,"$1,915,235","1,848","$1,036","$14,526,565"
15,Frozen II,37,"$1,754,029","1,131","$1,551","$474,687,703"
16,The Rhythm Section,37,"$1,504,516","3,049",$493,"$5,397,507"
17,Spies in Disguise,37,"$1,226,737",800,"$1,533","$65,142,404"
18,2020 Oscar Shorts,37,"$1,122,305",536,"$2,094","$2,952,749"
19,Uncut Gems,37,"$1,013,340","1,142",$887,"$49,598,853"
20,Ford v. Ferrari,37,"$936,826",743,"$1,261","$116,633,518"
1,Sonic The Hedgehog,44,"$80,301,671","4,167","$19,271","$80,301,671"
2,Birds of Prey (And the Fantabulous Emancipation…,44,"$23,365,713","4,236","$5,516","$65,524,015"
3,Fantasy Island,44,"$15,987,070","2,784","$5,742","$15,987,070"
4,Bad Boys For Life,44,"$15,293,339","3,185","$4,802","$185,315,645"
5,The Photograph,44,"$14,844,640","2,516","$5,900","$14,844,640"
6,1917,44,"$11,262,485","3,084","$3,652","$147,587,469"
7,Parasite,44,"$8,133,945","2,001","$4,065","$45,821,489"
8,Jumanji: The Next Level,44,"$7,948,137","2,410","$3,298","$307,964,423"
9,Dolittle,44,"$7,192,775","2,869","$2,507","$72,644,290"
10,Downhill,44,"$5,972,260","2,301","$2,596","$5,972,260"
11,The Gentlemen,44,"$3,873,279","1,802","$2,149","$32,397,342"
12,Knives Out,44,"$2,928,170","1,154","$2,537","$162,639,187"
13,Little Women,44,"$2,439,265","1,035","$2,357","$106,242,271"
14,Star Wars: The Rise of Skywalker,44,"$2,077,009",992,"$2,094","$513,563,372"
15,Gretel & Hansel,44,"$2,050,653","1,645","$1,247","$14,732,570"
16,Jojo Rabbit,44,"$1,407,296",484,"$2,908","$32,262,604"
17,Frozen II,44,"$1,388,650",716,"$1,939","$476,076,353"
18,Just Mercy,44,"$1,161,474",846,"$1,373","$35,141,640"
19,Spies in Disguise,44,"$827,255",519,"$1,594","$65,969,659"
20,The Turning,44,"$691,670",610,"$1,134","$15,218,235"
1,The Call of the Wild,51,"$32,804,038","3,752","$8,743","$32,804,038"
2,Sonic The Hedgehog,51,"$31,991,981","4,198","$7,621","$112,293,652"
3,Birds of Prey (And the Fantabulous Emancipation…,51,"$9,223,724","3,565","$2,587","$74,747,739"
4,Bad Boys For Life,51,"$7,752,740","2,972","$2,609","$193,068,385"
5,Brahms: The Boy II,51,"$7,147,619","2,151","$3,323","$7,147,619"
6,Fantasy Island,51,"$5,742,583","2,784","$2,063","$21,729,653"
7,1917,51,"$5,609,600","2,725","$2,059","$153,197,069"
8,Parasite,51,"$4,225,522","1,803","$2,344","$50,047,011"
9,The Photograph,51,"$3,733,115","2,516","$1,484","$18,577,755"
10,Jumanji: The Next Level,51,"$3,641,487","2,126","$1,713","$311,605,910"
11,My Hero Academia: Heroes: Rising,51,"$3,403,332","1,275","$2,669","$3,403,332"
12,Impractical Jokers: The Movie,51,"$3,077,091",357,"$8,619","$3,077,091"
13,Dolittle,51,"$2,355,765","2,265","$1,040","$75,000,055"
14,Downhill,51,"$1,981,500","2,311",$857,"$7,953,760"
15,My Boyfriend’s Meds,51,"$1,737,426",350,"$4,964","$1,737,426"
16,The Gentlemen,51,"$1,679,129","1,133","$1,482","$34,076,471"
17,Knives Out,51,"$1,386,056",949,"$1,461","$164,025,243"
18,Portrait of a Lady on Fire,51,"$988,174",130,"$7,601","$1,723,288"
19,Little Women,51,"$987,875",633,"$1,561","$107,230,146"
20,The Lodge,51,"$888,216",322,"$2,758","$1,184,498"
1,The Invisible Man,58,"$37,543,570","3,610","$10,400","$37,543,570"
2,Sonic The Hedgehog,58,"$20,524,500","4,177","$4,914","$132,818,152"
3,The Call of the Wild,58,"$17,679,700","3,865","$4,574","$50,483,738"
4,My Hero Academia: Heroes: Rising,58,"$7,792,075","1,260","$6,184","$11,195,407"
5,Bad Boys For Life,58,"$5,909,718","2,708","$2,182","$198,978,103"
6,Birds of Prey (And the Fantabulous Emancipation…,58,"$5,652,843","3,124","$1,809","$80,400,582"
7,Impractical Jokers: The Movie,58,"$4,550,000","1,769","$2,572","$7,627,091"
8,1917,58,"$3,727,025","2,232","$1,670","$156,924,094"
9,Brahms: The Boy II,58,"$3,384,235","2,151","$1,573","$10,531,854"
10,Fantasy Island,58,"$3,201,244","2,724","$1,175","$24,930,897"
11,Jumanji: The Next Level,58,"$2,925,684","1,811","$1,616","$314,531,594"
12,Parasite,58,"$2,126,439","1,324","$1,606","$52,173,450"
13,Emma.,58,"$1,590,615",97,"$16,398","$1,892,065"
14,The Gentlemen,58,"$1,567,713","1,473","$1,064","$35,644,184"
15,Dolittle,58,"$1,475,475","1,477",$999,"$76,475,530"
16,The Photograph,58,"$1,436,295","1,449",$991,"$20,014,050"
17,Portrait of a Lady on Fire,58,"$1,098,993",268,"$4,101","$2,822,281"
18,Knives Out,58,"$837,202",670,"$1,250","$164,862,445"
19,My Boyfriend’s Meds,58,"$810,979",350,"$2,317","$2,548,405"
20,Little Women,58,"$576,939",432,"$1,336","$107,807,085"
1,Onward,65,"$49,758,687","4,310","$11,545","$49,758,687"
2,The Invisible Man,65,"$20,876,115","3,610","$5,783","$58,419,685"
3,The Way Back,65,"$11,020,873","2,718","$4,055","$11,020,873"
4,Sonic The Hedgehog,65,"$10,413,176","3,717","$2,802","$143,231,328"
5,The Call of the Wild,65,"$9,382,173","3,914","$2,397","$59,865,911"
6,Emma.,65,"$6,743,910","1,565","$4,309","$8,635,975"
7,Bad Boys For Life,65,"$4,214,298","2,159","$1,952","$203,192,401"
8,Birds of Prey (And the Fantabulous Emancipation…,65,"$3,107,975","2,173","$1,430","$83,508,557"
9,Impractical Jokers: The Movie,65,"$2,419,000","1,775","$1,363","$10,046,091"
10,My Hero Academia: Heroes: Rising,65,"$2,358,419",658,"$3,584","$13,553,826"
11,1917,65,"$1,922,935","1,535","$1,253","$158,847,029"
12,Jumanji: The Next Level,65,"$1,830,810","1,403","$1,305","$316,362,404"
13,Brahms: The Boy II,65,"$1,696,949","1,355","$1,252","$12,228,803"
14,Fantasy Island,65,"$1,250,282","1,362",$918,"$26,181,179"
15,Parasite,65,"$974,394",625,"$1,559","$53,147,844"
16,Portrait of a Lady on Fire,65,"$766,773",334,"$2,296","$3,589,054"
17,Baaghi 3,65,"$666,661",265,"$2,516","$666,661"
18,The Gentlemen,65,"$546,481",492,"$1,111","$36,190,665"
19,Dolittle,65,"$485,445",687,$707,"$76,960,975"
20,The Photograph,65,"$470,270",382,"$1,231","$20,484,320"
1,Onward,72,"$11,796,458","4,310","$2,737","$61,555,145"
2,Bloodshot,72,"$10,021,787","2,861","$3,503","$10,021,787"
3,I Still Believe,72,"$9,868,521","3,250","$3,036","$9,868,521"
4,The Invisible Man,72,"$6,494,365","3,636","$1,786","$64,914,050"
5,The Hunt,72,"$5,812,500","3,028","$1,920","$5,812,500"
6,Sonic The Hedgehog,72,"$2,835,142","3,041",$932,"$146,066,470"
7,The Way Back,72,"$2,569,641","2,718",$945,"$13,590,514"
8,The Call of the Wild,72,"$2,476,457","3,201",$774,"$62,342,368"
9,Emma.,72,"$1,419,380","1,732",$820,"$10,055,355"
10,Bad Boys For Life,72,"$1,225,454","1,451",$845,"$204,417,855"
11,Birds of Prey (And the Fantabulous Emancipation…,72,"$649,904","2,173",$299,"$84,158,461"
12,Jumanji: The Next Level,72,"$468,842",862,$544,"$316,831,246"
13,Brahms: The Boy II,72,"$382,733",607,$631,"$12,611,536"
14,1917,72,"$380,615",766,$497,"$159,227,644"
15,Fantasy Island,72,"$260,603",515,$506,"$26,441,782"
16,The Gentlemen,72,"$106,189",226,$470,"$36,296,854"
17,The Photograph,72,"$93,865",198,$474,"$20,578,185"
18,Knives Out,72,"$93,503",221,$423,"$165,363,254"
19,Star Wars: The Rise of Skywalker,72,"$86,768",189,$459,"$515,202,542"
20,Dolittle,72,"$86,090",256,$336,"$77,047,065"
