ranks,titles,index,gross,theaters,per_theater,total_gross
-,What We Found,219,"$2,241",7,$320,"$6,172"
-,Killer Raccoons 2: Dark Christmas in the Dark,219,"$1,839",3,$613,"$6,315"
-,Followed,219,$488,3,$163,"$538,179"
-,The Truth,219,$265,3,$88,"$9,619"
1,The SpongeBob Movie: Sponge on the Run,226,"$1,507,001",300,"$5,023","$1,507,001"
2,Unhinged,226,"$1,001,601",299,"$3,350","$1,001,601"
-,The Tax Collector,226,"$261,113",138,"$1,892","$691,536"
-,Train to Busan Presents: Peninsula,226,"$141,916",45,"$3,154","$336,002"
-,The Rental,226,"$137,678",144,$956,"$1,416,954"
-,Murder in the Woods,226,"$74,295",25,"$2,972","$74,295"
-,The Silencing,226,"$70,232",79,$889,"$70,232"
-,The Big Ugly,226,"$33,974",14,"$2,427","$514,107"
-,Made in Italy,226,"$29,533",101,$292,"$81,865"
-,Spree,226,"$28,771",33,$872,"$28,771"
-,The Burnt Orange Heresy,226,"$19,805",84,$236,"$100,686"
-,Sputnik,226,"$14,157",32,$442,"$14,177"
-,Juvenile Delinquents,226,"$11,712",1,"$11,712","$27,772"
-,Relic,226,"$9,592",27,$355,"$1,043,478"
-,The Gentlemen,226,"$7,134",38,$188,"$36,366,483"
-,The Outpost,226,"$5,717",31,$184,"$182,580"
-,I Still Believe,226,"$5,122",17,$301,"$10,365,009"
-,Summerland,226,"$3,448",20,$172,"$53,732"
-,The Wretched,226,"$2,303",7,$329,"$1,808,195"
-,The Bay of Silence,226,"$1,941",16(v),$121,"$1,941"
1,Unhinged,233,"$5,236,599","1,823","$2,873","$6,238,200"
2,The SpongeBob Movie: Sponge on the Run,233,"$1,037,600",326,"$3,183","$2,544,601"
3,Words on Bathroom Walls,233,"$630,245",924,$682,"$630,245"
4,Cut Throat City,233,"$345,872",389,$889,"$346,191"
5,Train to Busan Presents: Peninsula,233,"$313,300",151,"$2,075","$649,302"
6,The Tax Collector,233,"$181,949",121,"$1,504","$873,485"
7,The Rental,233,"$120,810",105,"$1,151","$1,537,764"
8,Tulsa,233,"$113,253",191,$593,"$113,253"
9,The Gentlemen,233,"$105,313",38,"$2,771","$36,471,796"
-,Tesla,233,"$60,591",108,$561,"$60,591"
-,The Burnt Orange Heresy,233,"$36,990",139,$266,"$137,676"
-,The Silencing,233,"$30,514",61,$500,"$100,746"
-,I Still Believe,233,"$25,546",115,$222,"$10,390,555"
-,Made in Italy,233,"$9,291",37,$251,"$91,156"
-,Murder in the Woods,233,"$4,923",20,$246,"$79,218"
-,Sputnik,233,"$3,519",16,$220,"$17,696"
-,The Wretched,233,"$2,967",3,$989,"$1,811,162"
-,The Outpost,233,"$1,855",24,$77,"$184,435"
-,Summerland,233,"$1,680",8,$210,"$55,891"
-,Relic,233,"$1,566",11,$142,"$1,045,044"
1,The New Mutants,240,"$8,752,627","2,412","$3,629","$8,752,627"
2,Unhinged,240,"$3,393,008","2,331","$1,456","$9,631,208"
3,Bill & Ted Face the Music,240,"$1,494,464","1,007","$1,484","$1,494,464"
4,The Personal History of David Copperfield,240,"$663,473","1,360",$488,"$663,473"
5,The SpongeBob Movie: Sponge on the Run,240,"$652,939",314,"$2,079","$3,197,540"
6,Words on Bathroom Walls,240,"$629,293","1,395",$451,"$1,259,538"
7,Cut Throat City,240,"$215,761",349,$618,"$561,952"
8,Train to Busan Presents: Peninsula,240,"$141,798",143,$992,"$791,100"
9,The Tax Collector,240,"$98,822",63,"$1,569","$972,307"
10,Tulsa,240,"$62,769",162,$387,"$176,022"
11,The Rental,240,"$28,561",58,$492,"$1,566,325"
12,Tesla,240,"$20,820",87,$239,"$81,411"
13,I Still Believe,240,"$18,115",224,$81,"$10,408,670"
14,Centigrade,240,"$9,705",28,$347,"$9,705"
15,Murder in the Woods,240,"$6,068",14,$433,"$85,286"
16,Made in Italy,240,"$4,732",16,$296,"$95,888"
17,The Wretched,240,"$4,278",5,$856,"$1,815,440"
18,I Propose We Never See Each Other Again After T…,240,"$3,662",2,"$1,831","$9,341"
19,The Burnt Orange Heresy,240,"$2,472",10,$247,"$140,148"
20,The Outpost,240,"$2,199",6,$367,"$186,634"
1,Tenet,247,"$22,493,137","2,810","$8,005","$22,493,137"
-,The New Mutants,247,"$4,487,741","2,754","$1,630","$13,240,368"
-,Unhinged,247,"$2,695,348","2,402","$1,122","$12,326,556"
-,Bill & Ted Face the Music,247,"$1,020,172",953,"$1,070","$2,514,636"
-,The Personal History of David Copperfield,247,"$547,571","1,550",$353,"$1,211,044"
-,The SpongeBob Movie: Sponge on the Run,247,"$540,776",304,"$1,779","$3,738,316"
-,Words on Bathroom Walls,247,"$451,998","1,168",$387,"$1,711,536"
-,Train to Busan Presents: Peninsula,247,"$100,250",97,"$1,034","$891,350"
-,Cut Throat City,247,"$92,831",131,$709,"$654,783"
-,Tulsa,247,"$40,811",82,$498,"$216,833"
-,The Rental,247,"$31,606",25,"$1,264","$1,600,409"
-,My Brothers’ Crossing,247,"$29,164",73,$400,"$29,164"
-,The Tax Collector,247,"$25,617",27,$949,"$997,924"
-,I Propose We Never See Each Other Again After T…,247,"$4,907",8,$613,"$14,248"
-,Tesla,247,"$4,518",21,$215,"$85,929"
-,Murder in the Woods,247,"$2,542",11,$231,"$87,828"
-,Made in Italy,247,"$2,462",11,$224,"$98,350"
-,Centigrade,247,"$2,061",14,$147,"$11,766"
-,The Burnt Orange Heresy,247,"$1,843",7,$263,"$141,991"
-,Sex and the Future,247,"$1,736",2,$868,"$5,305"
1,Tenet,254,"$9,040,337","2,910","$3,107","$31,533,474"
-,The New Mutants,254,"$2,869,221","2,704","$1,061","$16,109,589"
-,Unhinged,254,"$2,087,357","2,365",$883,"$14,413,913"
-,The Broken Hearts Gallery,254,"$1,606,894","2,209",$727,"$1,606,894"
-,Bill & Ted Face the Music,254,"$413,813",807,$513,"$2,928,449"
-,Words on Bathroom Walls,254,"$330,635","1,003",$330,"$2,042,171"
-,The Personal History of David Copperfield,254,"$295,132","1,203",$245,"$1,506,176"
-,The SpongeBob Movie: Sponge on the Run,254,"$292,787",267,"$1,097","$4,031,103"
-,Train to Busan Presents: Peninsula,254,"$83,859",85,$987,"$975,209"
-,Cut Throat City,254,"$61,602",106,$581,"$716,385"
-,Tulsa,254,"$35,898",93,$386,"$252,731"
-,Rent-A-Pal,254,"$24,148",56,$431,"$24,148"
-,The Secrets We Keep,254,"$23,967",470,$51,"$23,967"
-,The Rental,254,"$21,637",18,"$1,202","$1,622,046"
-,My Brothers’ Crossing,254,"$14,547",71,$205,"$43,711"
-,The Tax Collector,254,"$12,711",32,$397,"$1,010,635"
-,Centigrade,254,"$4,497",5,$899,"$16,263"
-,Tesla,254,"$4,344",15,$290,"$90,273"
-,I Propose We Never See Each Other Again After T…,254,"$1,998",6,$333,"$16,246"
-,Find Your Voice,254,"$1,437",1,"$1,437","$1,437"
1,Tenet,261,"$6,319,952","2,930","$2,157","$37,853,426"
-,The New Mutants,261,"$2,202,569","2,518",$875,"$18,312,158"
-,Infidel,261,"$1,929,599","1,724","$1,119","$1,929,599"
-,Unhinged,261,"$1,775,634","2,324",$764,"$16,189,547"
-,The Broken Hearts Gallery,261,"$1,161,529","2,221",$523,"$2,768,423"
-,Bill & Ted Face the Music,261,"$267,261",607,$440,"$3,195,710"
-,The SpongeBob Movie: Sponge on the Run,261,"$262,277",261,"$1,005","$4,293,380"
-,Words on Bathroom Walls,261,"$221,648",797,$278,"$2,263,819"
-,The Personal History of David Copperfield,261,"$219,841","1,007",$218,"$1,726,017"
-,Alone,261,"$215,555",169,"$1,275","$215,555"
-,The Secrets We Keep,261,"$143,415",471,$304,"$167,382"
-,No Escape,261,"$100,512",45,"$2,234","$100,512"
-,Train to Busan Presents: Peninsula,261,"$89,826",85,"$1,057","$1,065,035"
-,The Nest,261,"$89,206",301,$296,"$89,206"
-,Tulsa,261,"$54,337",135,$402,"$307,068"
-,Cut Throat City,261,"$42,754",82,$521,"$759,139"
-,The Way I See it,261,"$36,605",124,$295,"$36,605"
-,The Tax Collector,261,"$9,032",13,$695,"$1,019,667"
-,The Rental,261,"$7,464",20,$373,"$1,629,510"
-,My Brothers’ Crossing,261,"$7,326",55,$133,"$51,037"
1,Tenet,268,"$4,630,091","2,850","$1,625","$42,483,517"
-,The New Mutants,268,"$1,601,903","2,305",$695,"$19,914,061"
-,Unhinged,268,"$1,343,107","2,182",$616,"$17,532,654"
-,Infidel,268,"$1,042,366","1,885",$553,"$2,971,965"
-,The Broken Hearts Gallery,268,"$689,978","2,141",$322,"$3,458,401"
-,Shortcut,268,"$442,975",725,$611,"$442,975"
-,The Last Shift,268,"$364,337",871,$418,"$364,337"
-,Kajillionaire,268,"$304,440",529,$576,"$304,440"
-,Ava,268,"$219,370",222,$988,"$219,370"
-,The SpongeBob Movie: Sponge on the Run,268,"$177,536",250,$710,"$4,470,916"
-,Alone,268,"$137,386",173,$794,"$352,941"
-,Words on Bathroom Walls,268,"$124,628",487,$256,"$2,388,447"
-,Bill & Ted Face the Music,268,"$109,701",353,$311,"$3,305,411"
-,The Personal History of David Copperfield,268,"$85,153",512,$166,"$1,811,170"
-,On the Basis of Sex,268,"$82,150",829,$99,"$24,704,837"
-,Train to Busan Presents: Peninsula,268,"$60,947",84,$726,"$1,125,982"
-,The Secrets We Keep,268,"$59,704",449,$133,"$227,086"
-,Tulsa,268,"$50,689",159,$319,"$357,757"
-,The Nest,268,"$39,771",299,$133,"$129,213"
-,No Escape,268,"$33,613",39,$862,"$134,125"
1,Tenet,275,"$3,719,990","2,722","$1,367","$46,203,507"
-,The New Mutants,275,"$1,392,000","2,154",$646,"$21,306,061"
-,Unhinged,275,"$1,160,731","2,023",$574,"$18,693,385"
-,Infidel,275,"$642,424","1,792",$358,"$3,614,389"
-,The Broken Hearts Gallery,275,"$398,935","2,100",$190,"$3,857,336"
-,Possessor,275,"$366,355",320,"$1,145","$366,355"
-,The Last Shift,275,"$223,268",886,$252,"$587,605"
-,Save Yourselves!,275,"$206,610",388,$533,"$206,610"
-,The Call,275,"$188,117",195,$965,"$188,117"
-,Ava,275,"$157,667",252,$626,"$377,037"
-,Kajillionaire,275,"$149,265",547,$273,"$453,705"
-,Legend of Deification,275,"$143,937",55,"$2,617","$143,937"
-,The SpongeBob Movie: Sponge on the Run,275,"$128,874",215,$599,"$4,599,790"
-,Words on Bathroom Walls,275,"$90,460",314,$288,"$2,478,907"
-,Alone,275,"$75,170",127,$592,"$428,111"
-,A Call to Spy,275,"$49,586",75,$661,"$49,586"
-,Bill & Ted Face the Music,275,"$48,124",207,$232,"$3,353,535"
-,The Personal History of David Copperfield,275,"$47,963",285,$168,"$1,859,133"
-,Train to Busan Presents: Peninsula,275,"$43,715",74,$591,"$1,169,697"
-,Tulsa,275,"$33,028",159,$208,"$390,785"
1,The War with Grandpa,282,"$4,754,332","2,250","$2,113","$4,754,332"
2,Tenet,282,"$2,903,920","2,215","$1,311","$49,107,427"
-,The New Mutants,282,"$950,465","1,663",$572,"$22,256,526"
-,Unhinged,282,"$919,916","1,608",$572,"$19,613,301"
-,Honest Thief,282,"$507,389","2,425",$209,"$507,389"
-,Infidel,282,"$284,385",959,$297,"$3,898,774"
-,Possessor,282,"$224,113",303,$740,"$590,469"
-,Yellow Rose,282,"$219,735",900,$244,"$239,573"
-,The Wolf of Snow Hollow,282,"$141,695",112,"$1,265","$141,695"
-,The Broken Hearts Gallery,282,"$129,673",721,$180,"$3,987,009"
-,The Call,282,"$116,828",195,$599,"$304,945"
-,Save Yourselves!,282,"$77,353",346,$224,"$283,963"
-,Bill & Ted Face the Music,282,"$76,593",107,$716,"$3,430,128"
-,The SpongeBob Movie: Sponge on the Run,282,"$70,004",191,$367,"$4,669,794"
-,Ava,282,"$61,635",174,$354,"$438,672"
-,Kajillionaire,282,"$57,810",267,$217,"$511,515"
-,Alone,282,"$52,800",94,$562,"$480,911"
-,A Call to Spy,282,"$42,501",79,$538,"$92,087"
-,Words on Bathroom Walls,282,"$41,206",173,$238,"$2,520,113"
-,Legend of Deification,282,"$40,656",40,"$1,016","$191,621"
1,Honest Thief,289,"$4,618,885","2,425","$1,905","$5,126,274"
2,The War with Grandpa,289,"$3,082,715","2,260","$1,364","$7,837,047"
3,Tenet,289,"$2,080,528","2,001","$1,040","$51,187,955"
-,2 Hearts,289,"$669,821","1,683",$398,"$669,821"
-,The New Mutants,289,"$611,188","1,293",$473,"$22,867,714"
-,Unhinged,289,"$559,748","1,276",$439,"$20,173,049"
-,Love and Monsters,289,"$362,275",387,$936,"$362,275"
-,The Kid Detective,289,"$209,731",865,$242,"$209,731"
-,Lupin III: The First,289,"$128,593",418,$308,"$128,593"
-,Yellow Rose,289,"$101,548",900,$113,"$341,121"
-,Infidel,289,"$96,848",471,$206,"$3,995,622"
-,Possessor,289,"$96,573",188,$514,"$687,042"
-,The Call,289,"$82,908",154,$538,"$387,853"
-,The SpongeBob Movie: Sponge on the Run,289,"$60,591",131,$463,"$4,730,385"
-,The Wolf of Snow Hollow,289,"$35,977",89,$404,"$177,672"
-,Alone,289,"$35,230",70,$503,"$516,141"
-,Ava,289,"$31,857",69,$462,"$470,529"
-,The Broken Hearts Gallery,289,"$31,211",259,$121,"$4,018,220"
-,Kajillionaire,289,"$19,915",91,$219,"$531,430"
-,Percy,289,"$19,492",11,"$1,772","$28,414"
1,Honest Thief,296,"$3,058,988","2,502","$1,223","$8,185,262"
2,The War with Grandpa,296,"$2,371,158","2,345","$1,011","$10,208,205"
3,Tenet,296,"$1,726,328","1,801",$959,"$52,914,283"
4,The Empty Man,296,"$1,707,677","2,027",$842,"$1,707,677"
-,After We Collided,296,"$489,682",460,"$1,065","$2,141,955"
-,2 Hearts,296,"$412,975","1,678",$246,"$1,082,796"
-,The Addams Family,296,"$398,577","1,307",$305,"$97,584,384"
-,The New Mutants,296,"$377,446",830,$455,"$23,245,160"
-,Unhinged,296,"$342,021",905,$378,"$20,515,070"
-,Synchronic,296,"$341,117",327,"$1,043","$341,117"
-,Love and Monsters,296,"$283,323",380,$746,"$645,598"
-,The Kid Detective,296,"$134,030",857,$156,"$343,761"
-,The Call,296,"$58,434",116,$504,"$446,287"
-,Possessor,296,"$45,897",104,$441,"$732,939"
-,Infidel,296,"$38,578",192,$201,"$4,034,200"
-,The SpongeBob Movie: Sponge on the Run,296,"$37,457",94,$398,"$4,767,842"
-,The Broken Hearts Gallery,296,"$21,327",159,$134,"$4,039,547"
-,Ava,296,"$17,082",17,"$1,005","$487,611"
-,Percy,296,"$16,980",28,$606,"$45,566"
-,A Call to Spy,296,"$13,453",25,$538,"$123,739"
1,Come Play,303,"$3,931,825","2,183","$1,801","$3,931,825"
2,Honest Thief,303,"$1,851,260","2,360",$784,"$10,036,522"
3,The War with Grandpa,303,"$1,694,404","2,365",$716,"$11,902,609"
4,Tenet,303,"$1,320,040","1,601",$825,"$54,234,323"
-,The Empty Man,303,"$739,800","2,051",$361,"$2,447,477"
-,The Addams Family,303,"$263,157","1,007",$261,"$97,847,541"
-,Spell,303,"$257,743",369,$698,"$257,743"
-,The New Mutants,303,"$212,239",552,$384,"$23,457,399"
-,Love and Monsters,303,"$174,553",248,$704,"$820,151"
-,Unhinged,303,"$167,094",602,$278,"$20,682,164"
-,Synchronic,303,"$165,283",315,$525,"$506,400"
-,2 Hearts,303,"$157,578",894,$176,"$1,240,374"
-,After We Collided,303,"$141,671",546,$259,"$2,283,626"
-,The Call,303,"$45,396",78,$582,"$491,683"
-,The SpongeBob Movie: Sponge on the Run,303,"$20,154",88,$229,"$4,787,996"
-,Possessor,303,"$19,946",88,$227,"$752,885"
-,The Kid Detective,303,"$16,521",154,$107,"$360,282"
-,Infidel,303,"$12,525",69,$182,"$4,046,725"
-,Ava,303,"$10,136",9,"$1,126","$497,747"
-,A Call to Spy,303,"$9,965",23,$433,"$133,704"
1,Let Him Go,310,"$5,087,465","2,454","$2,073","$5,087,465"
2,Come Play,310,"$2,284,715","2,213","$1,032","$6,216,540"
3,The War with Grandpa,310,"$2,000,094","2,348",$852,"$13,902,703"
4,Honest Thief,310,"$1,545,604","2,217",$697,"$11,582,126"
5,Tenet,310,"$1,339,494","1,412",$949,"$55,573,817"
-,The Empty Man,310,"$393,410","1,243",$317,"$2,840,887"
-,The New Mutants,310,"$199,096",327,$609,"$23,656,495"
-,The Informer,310,"$187,405",283,$662,"$187,405"
-,Spell,310,"$172,498",368,$469,"$430,241"
-,Love and Monsters,310,"$151,434",177,$856,"$971,585"
-,Unhinged,310,"$112,447",374,$301,"$20,794,611"
-,Synchronic,310,"$84,989",141,$603,"$591,389"
-,2 Hearts,310,"$79,375",148,$536,"$1,319,749"
-,The Dark and The Wicked,310,"$78,014",68,"$1,147","$78,014"
-,After We Collided,310,"$76,839",546,$141,"$2,360,465"
-,The SpongeBob Movie: Sponge on the Run,310,"$22,794",55,$414,"$4,810,790"
-,The Call,310,"$21,609",53,$408,"$513,292"
-,The Addams Family,310,"$17,192",107,$161,"$97,864,733"
-,The Broken Hearts Gallery,310,"$15,676",258,$61,"$4,062,907"
-,A Call to Spy,310,"$11,382",27,$422,"$145,086"
1,Freaky,317,"$4,372,295","2,472","$1,769","$4,372,295"
2,Let Him Go,317,"$2,131,835","2,458",$867,"$7,219,300"
3,The War with Grandpa,317,"$1,546,890","2,145",$721,"$15,449,593"
4,Come Play,317,"$1,288,125","1,966",$655,"$7,504,665"
5,Honest Thief,317,"$976,443","1,843",$530,"$12,558,569"
6,Tenet,317,"$942,600","1,223",$771,"$56,516,417"
-,The Climb,317,"$143,423",408,$352,"$143,423"
-,Missão: Vingança,317,"$141,235",259,$545,"$141,235"
-,Come Away,317,"$130,470",475,$275,"$130,470"
-,Ammonite,317,"$122,088",280,$436,"$122,088"
-,The New Mutants,317,"$114,866",215,$534,"$23,771,361"
-,The Empty Man,317,"$99,574",506,$197,"$2,940,461"
-,Love and Monsters,317,"$99,129",129,$768,"$1,070,714"
-,The Informer,317,"$82,994",168,$494,"$270,399"
-,Spell,317,"$69,863",159,$439,"$500,104"
-,The Dark and The Wicked,317,"$44,732",31,"$1,443","$122,746"
-,Unhinged,317,"$36,854",176,$209,"$20,831,465"
-,Synchronic,317,"$31,161",62,$503,"$622,550"
-,2 Hearts,317,"$21,744",148,$147,"$1,341,493"
-,After We Collided,317,"$20,436",141,$145,"$2,380,901"
1,The Croods: A New Age,324,"$4,550,255","2,211","$2,058","$4,550,255"
2,Freaky,324,"$1,870,690","2,057",$909,"$6,242,985"
3,The War with Grandpa,324,"$1,164,218","1,688",$690,"$16,613,811"
4,Let Him Go,324,"$1,034,125",987,"$1,048","$8,253,425"
5,Come Play,324,"$780,360",694,"$1,124","$8,285,025"
6,Honest Thief,324,"$632,825",975,$649,"$13,191,394"
7,Tenet,324,"$553,268",864,$640,"$57,069,685"
-,The Santa Clause,324,"$536,000","1,090",$492,"$145,369,357"
-,Vanguard,324,"$521,955","1,200",$435,"$521,955"
-,The Last Vermeer,324,"$338,305",896,$378,"$338,305"
-,Buddy Games,324,"$216,313",397,$545,"$216,313"
-,True to the Game 2: Gena’s Story,324,"$195,829",180,"$1,088","$1,003,155"
-,The Forgotten Carols,324,"$190,214",58,"$3,280","$190,214"
-,Missão: Vingança,324,"$68,852",177,$389,"$210,087"
-,The Climb,324,"$66,620",267,$250,"$210,043"
-,National Lampoon’s Christmas Vacation,324,"$50,000",308,$162,"$67,271,818"
-,The New Mutants,324,"$48,973",40,"$1,224","$23,820,334"
-,Come Away,324,"$46,939",264,$178,"$177,409"
-,Frozen,324,"$35,000","1,367",$26,"$400,773,009"
-,The Empty Man,324,"$30,696",95,$323,"$2,971,157"
1,The Croods: A New Age,331,"$11,350,155","2,211","$5,133","$15,900,410"
2,Freaky,331,"$1,038,355","1,735",$598,"$7,281,340"
3,The War with Grandpa,331,"$691,490","1,500",$461,"$17,305,301"
4,Let Him Go,331,"$562,970","1,447",$389,"$8,816,395"
-,Come Play,331,"$460,805","1,029",$448,"$8,745,830"
-,Honest Thief,331,"$440,970",975,$452,"$13,632,364"
-,Tenet,331,"$355,973",656,$543,"$57,425,658"
-,Vanguard,331,"$207,537",450,$461,"$729,492"
-,The Last Vermeer,331,"$204,595",896,$228,"$542,900"
-,National Lampoon’s Christmas Vacation,331,"$170,000",308,$552,"$67,441,818"
-,Buddy Games,331,"$145,255",397,$366,"$361,568"
-,The Forgotten Carols,331,"$107,492",63,"$1,706","$297,706"
-,Missão: Vingança,331,"$39,931",87,$459,"$250,018"
-,Always & Forever,331,"$23,668",9,"$2,630","$43,436"
-,Zappa,331,"$15,502",70,$221,"$15,502"
-,The Climb,331,"$14,828",52,$285,"$224,871"
-,The Empty Man,331,"$9,997",95,$105,"$2,981,154"
-,The New Mutants,331,"$8,746",40,$219,"$23,829,080"
-,Embattled,331,"$8,596",46,$187,"$27,025"
-,Come Away,331,"$7,068",264,$27,"$184,477"
1,The Croods: A New Age,338,"$5,349,695","2,205","$2,426","$21,250,105"
2,Half Brothers,338,"$891,525","1,369",$651,"$891,525"
3,Freaky,338,"$637,025","1,502",$424,"$7,918,365"
4,All My Life,338,"$480,930",970,$496,"$480,930"
5,The War with Grandpa,338,"$392,654","1,285",$306,"$17,697,955"
6,Come Play,338,"$287,885",773,$372,"$9,033,715"
7,Let Him Go,338,"$269,655","1,113",$242,"$9,086,050"
8,Honest Thief,338,"$253,407",785,$323,"$13,885,771"
9,Tenet,338,"$235,906",532,$443,"$57,661,564"
10,National Lampoon’s Christmas Vacation,338,"$155,000",420,$369,"$67,596,818"
11,The Polar Express,338,"$155,000",300,$517,"$183,865,445"
-,The Last Vermeer,338,"$85,177",865,$98,"$628,077"
-,The Forgotten Carols,338,"$74,636",68,"$1,098","$372,342"
-,Mario Puzo’s The Godfather Coda: The Death of M…,338,"$72,923",179,$407,"$66,593,452"
-,Vanguard,338,"$52,033",101,$515,"$781,525"
-,Buddy Games,338,"$44,336",199,$223,"$405,904"
-,Always & Forever,338,"$25,210",7,"$3,601","$68,646"
-,Missão: Vingança,338,"$19,795",42,$471,"$269,813"
-,The Climb,338,"$4,969",12,$414,"$229,840"
-,The New Mutants,338,"$3,956",30,$132,"$23,833,036"
1,The Croods: A New Age,345,"$3,779,165","2,115","$1,787","$25,029,270"
2,Half Brothers,345,"$645,905","1,386",$466,"$1,537,430"
3,Freaky,345,"$423,310","1,235",$343,"$8,341,675"
4,Elf,345,"$400,000",850,$471,"$175,026,840"
5,The War with Grandpa,345,"$332,378","1,080",$308,"$18,030,333"
-,All My Life,345,"$277,635",965,$288,"$758,565"
-,The Polar Express,345,"$245,000",300,$817,"$184,110,445"
-,National Lampoon’s Christmas Vacation,345,"$239,000",620,$385,"$71,558,546"
-,Come Play,345,"$215,865",610,$354,"$9,249,580"
-,Tenet,345,"$188,662",478,$395,"$57,850,226"
-,Honest Thief,345,"$177,843",625,$285,"$14,063,614"
-,Let Him Go,345,"$160,090",765,$209,"$9,246,140"
-,Wild Mountain Thyme,345,"$148,513",450,$330,"$148,513"
-,Archenemy,345,"$71,836",94,$764,"$71,836"
-,The Forgotten Carols,345,"$55,720",70,$796,"$428,062"
-,The Last Vermeer,345,"$47,881",869,$55,"$675,958"
-,Mario Puzo’s The Godfather Coda: The Death of M…,345,"$22,407",156,$144,"$66,615,859"
-,Always & Forever,345,"$21,272",4,"$5,318","$89,918"
-,The New Mutants,345,"$15,975",234,$68,"$23,849,011"
-,The Empty Man,345,"$7,675",175,$44,"$2,990,530"
1,The Croods: A New Age,352,"$3,587,470","1,906","$1,882","$28,616,740"
-,Monster Hunter,352,"$3,092,417","1,736","$1,781","$3,092,417"
-,Fatale,352,"$1,301,522","1,107","$1,176","$1,301,522"
-,Half Brothers,352,"$417,215","1,143",$365,"$1,954,645"
-,The War with Grandpa,352,"$387,425",803,$482,"$18,417,758"
-,Elf,352,"$365,000",600,$608,"$175,391,840"
-,Freaky,352,"$268,420",785,$342,"$8,610,095"
-,The Polar Express,352,"$231,000",450,$513,"$184,341,445"
-,Come Play,352,"$177,870",427,$417,"$9,427,450"
-,National Lampoon’s Christmas Vacation,352,"$166,000",500,$332,"$71,724,546"
-,Tenet,352,"$149,888",340,$441,"$58,000,114"
-,All My Life,352,"$117,180",609,$192,"$875,745"
-,Let Him Go,352,"$89,485",406,$220,"$9,335,625"
-,The Forgotten Carols,352,"$63,387",45,"$1,409","$491,449"
-,Always & Forever,352,"$21,272",4,"$5,318","$111,190"
-,Hunter Hunter,352,"$17,748",30,$592,"$17,748"
-,Archenemy,352,"$13,989",66,$212,"$85,825"
-,The Last Vermeer,352,"$9,422",76,$124,"$685,380"
-,The New Mutants,352,"$3,483",52,$67,"$23,852,494"
-,The Empty Man,352,"$2,148",80,$27,"$2,992,678"
1,Wonder Woman 1984,359,"$23,009,311","2,151","$10,697","$23,009,311"
-,The Croods: A New Age,359,"$3,717,540","1,726","$2,154","$32,334,280"
-,News of the World,359,"$3,717,170","1,900","$1,956","$3,717,170"
-,Monster Hunter,359,"$1,925,986","1,817","$1,060","$5,018,403"
-,Promising Young Woman,359,"$1,208,180","1,310",$922,"$1,208,180"
-,Fatale,359,"$1,086,611","1,168",$930,"$2,388,133"
-,Pinocchio,359,"$488,838",786,$622,"$488,838"
-,The War with Grandpa,359,"$284,436",515,$552,"$18,702,194"
-,Elf,359,"$115,000",300,$383,"$175,506,840"
-,Freaky,359,"$91,965",255,$361,"$8,702,060"
-,National Lampoon’s Christmas Vacation,359,"$91,000",300,$303,"$71,815,546"
-,Come Play,359,"$78,090",123,$635,"$9,505,540"
-,Half Brothers,359,"$61,505",186,$331,"$2,016,150"
-,The Polar Express,359,"$60,000",220,$273,"$184,401,445"
-,Tenet,359,"$44,051",116,$380,"$58,044,165"
-,All My Life,359,"$23,840",133,$179,"$899,585"
-,Always & Forever,359,"$18,674",2,"$9,337","$129,864"
-,Let Him Go,359,"$12,315",54,$228,"$9,347,940"
-,Archenemy,359,"$11,003",2,"$5,502","$96,828"
-,The Forgotten Carols,359,"$9,243",48,$193,"$500,692"
