Date,Rank,Movie Title,Weekly Gross,Cumulative Gross,Genre,Original Language,Director,Release Date,Total Gross,Runtime,Distributor,Prod Co.
2020/1/10,12,The Grudge,"$4,725,926","$19,132,641","Horror, Mystery & thriller",English,Takashi Shimizu,"Oct 22, 2004",$110.2M,1h 30m,Sony Pictures Entertainment,"Senator International, Ghost House Pictures"
2020/1/10,13,Weathering With You,"$3,046,250","$3,046,250","Drama, Fantasy, Anime",Japanese,Makoto Shinkai,"Jan 15, 2020",$7.8M,1h 51m,GKIDS,"Kadokawa, Beijing Enlight Pictures, CoMix Wave Films, China Film Group Corporation, Toho Animation"
2020/1/10,14,Bombshell,"$2,216,685","$28,664,908",Sci-fi,English,Paul Wynne,,,1h 36m,,
2020/1/10,15,Parasite,"$1,585,913","$25,988,645","Horror, Sci-fi",English,,,,1h 30m,,
2020/1/10,16,Ford v. Ferrari,"$1,154,783","$111,810,388","History, Drama, Biography",English,James Mangold,"Nov 15, 2019",$117.6M,2h 32m,20th Century Fox,"Chernin Entertainment, 20th Century Fox"
2020/1/10,17,Cats,"$808,410","$26,647,835",Musical,English (United Kingdom),David Mallet,,,2h 0m,,
2020/1/10,18,A Beautiful Day in the Neighborhood,"$795,838","$60,203,849","Biography, Drama",English,Marielle Heller,"Nov 22, 2019",$61.7M,1h 47m,"TriStar Pictures, Sony Pictures Entertainment","Big Beach, TriStar Pictures"
2020/1/10,19,Queen & Slim,"$542,105","$43,648,410","Crime, Drama, Romance",English,Melina Matsoukas,"Nov 27, 2019",$43.8M,2h 12m,Universal Pictures,
2020/1/10,20,IP Man: The Finale,"$469,151","$3,646,219",Action,Chinese,Wilson Yip,"Dec 25, 2019",$4.0M,1h 45m,Well Go USA,"Bullet Films, Shanghai Bona Cultural Media, Mandarin Motion Pictures"
2020/1/17,1,Bad Boys For Life,"$86,644,165","$86,644,165","Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jan 17, 2020",$204.3M,2h 4m,"Columbia Pictures, Sony Pictures Entertainment","2.0 Entertainment, Jerry Bruckheimer Films, Columbia Pictures"
2020/1/17,2,1917,"$33,466,325","$88,083,309","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",$159.2M,1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment"
2020/1/17,3,Dolittle,"$32,184,730","$32,184,730","Kids & family, Fantasy, Adventure, Comedy",English,Stephen Gaghan,"Jan 17, 2020",$77.0M,1h 40m,Universal Pictures,"Perfect World Pictures, Universal Pictures, Team Downey"
2020/1/17,4,Jumanji: The Next Level,"$14,632,825","$275,545,800","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",$316.8M,2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions"
2020/1/17,5,Star Wars: The Rise of Skywalker,"$12,764,339","$496,410,140","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",$515.2M,2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot"
2020/1/17,6,Little Women,"$10,536,349","$89,027,401","Drama, Musical",English,William Corrigan,,,1h 10m,,CBS
2020/1/17,7,Just Mercy,"$9,410,739","$23,023,382",Drama,English,Destin Daniel Cretton,"Jan 10, 2020",$36.0M,2h 16m,Warner Bros. Pictures,Netter Productions
2020/1/17,8,Knives Out,"$6,538,535","$148,215,922","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",$165.4M,2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital"
2020/1/17,9,Frozen II,"$6,111,878","$467,263,568","Kids & family, Musical, Comedy, Adventure, Animation",English,"Chris Buck, Jennifer Lee","Nov 22, 2019",$477.4M,1h 43m,Walt Disney,"Walt Disney Pictures, Walt Disney Animation"
2020/1/17,10,Like a Boss,"$5,913,441","$18,997,029",Comedy,English,Miguel Arteta,"Jan 10, 2020",$22.1M,1h 23m,Paramount Pictures,Artists First
2020/1/17,11,Underwater,"$5,490,277","$14,710,984","Drama, Adventure",English,John Sturges,,,1h 37m,,RKO Radio Pictures Inc.
2020/1/17,12,Spies in Disguise,"$4,432,874","$60,259,741","Kids & family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Dec 25, 2019",$66.7M,1h 42m,20th Century Fox,"Twentieth Century Fox Animation, Chernin Entertainment, Blue Sky Studios"
2020/1/17,13,Parasite,"$2,950,360","$28,939,005","Horror, Sci-fi",English,,,,1h 30m,,
2020/1/17,14,Weathering With You,"$2,813,395","$5,859,645","Drama, Fantasy, Anime",Japanese,Makoto Shinkai,"Jan 15, 2020",$7.8M,1h 51m,GKIDS,"Kadokawa, Beijing Enlight Pictures, CoMix Wave Films, China Film Group Corporation, Toho Animation"
2020/1/17,15,Jojo Rabbit,"$2,445,565","$24,574,637","Comedy, Drama",English,Taika Waititi,"Nov 8, 2019",$33.4M,1h 48m,Fox Searchlight,Unison Films
2020/1/17,16,Uncut Gems,"$2,049,756","$46,978,355","Mystery & thriller, Comedy",English,"Benny Safdie, Josh Safdie","Dec 25, 2019",$50.0M,2h 15m,A24,"Elara Pictures, Sikelia Productions, Scott Rudin Productions"
2020/1/17,17,Ford v. Ferrari,"$1,720,487","$113,530,875","History, Drama, Biography",English,James Mangold,"Nov 15, 2019",$117.6M,2h 32m,20th Century Fox,"Chernin Entertainment, 20th Century Fox"
