date,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019-12-24,,,,,,,,,,,,,,,,,,,"2019 DAY6 연말콘서트, 2019 페퍼톤스 연말콘서트, PSY CONCERT 올나잇스탠드 2019, LEE YONGSIN CONCERT (가제)","2019 DAY6 연말콘서트, 2019 페퍼톤스 연말콘서트, PSY CONCERT 올나잇스탠드 2019, LEE YONGSIN CONCERT (가제)","2019 DAY6 연말콘서트, 2019 페퍼톤스 연말콘서트, PSY CONCERT 올나잇스탠드 2019, LEE YONGSIN CONCERT (가제)"
2019-12-31,,"2019 박진영 나쁜파티, EXO 5번째 콘서트 앵콜 공연, Crush Concert 2019 'happier'",,,,,,,,,,,,,,,,"2019 박진영 나쁜파티, EXO 5번째 콘서트 앵콜 공연, Crush Concert 2019 'happier'",,,
2020-01-18,,,,,,,,,,"2020 여자친구 팬미팅, 태연 4번째 콘서트",,,,,,,,,,,
2020-02-07,2020 성규 단독 콘서트,,,,,,,,,,2020 성규 단독 콘서트,,,,,2020 성규 단독 콘서트,2020 성규 단독 콘서트,,,,
2020-11-13,,,,,,,,,,,,,,,,[ 2020 Theatre 이문세 ],,,,,
2020-11-14,,,,,,,,,,,,,,[ 2020 Theatre 이문세 ],,,,,,,
2021-06-05,,,,,,,,,,,팬텀싱어 올스타전 갈라 콘체르토,,,,,,,,,,
2021-07-02,,,,,,,,,,,,,,,"내일은 미스터트롯 TOP6 굿바이 콘서트 - 서울, 싱어게인 TOP10 전국투어 콘서트 - 서울앵콜",,,,,,
2021-07-03,,,,,,,,,"내일은 미스터트롯 TOP6 굿바이 콘서트 - 서울, 싱어게인 TOP10 전국투어 콘서트 - 서울앵콜","내일은 미스터트롯 TOP6 굿바이 콘서트 - 서울, 싱어게인 TOP10 전국투어 콘서트 - 서울앵콜","내일은 미스터트롯 TOP6 굿바이 콘서트 - 서울, 싱어게인 TOP10 전국투어 콘서트 - 서울앵콜",,,,,,,,,,
2021-10-02,,,,,,,,,,,,TREASURE 2021 PRIVATE STAGE [TEU-DAY],,,,,,,,,
